Degree,Chi2_A_std,Chi2_A_empirical_var,Chi2_A_var_theory,Chi2_B_std,Chi2_B_empirical_var,Chi2_B_var_theory
1,80.70105927356553,6512.660967875538,598,85.57791786369137,7323.580025884707,606
2,31.06348762279704,964.9402632916649,596,28.570335021276172,816.2640432279597,612
3,24.430531918102677,596.8508898014337,594,25.06646550584912,628.3276929559238,618
4,24.2928061035673,590.1404283855168,592,24.89415577670623,619.7189918349162,624
5,24.229125724642135,587.0505333805153,590,24.795137193399583,614.7988284395074,630
6,24.460940281664456,598.3375994631548,588,24.517543466578523,601.1099376355672,636
7,24.55213043953495,602.8071091199386,586,24.37820279119692,594.2967713287213,642
8,24.30930304578805,590.9422145719601,584,24.86555655271879,618.2959026764563,648
9,24.465305283145746,598.5511625975191,582,25.458296340843972,648.1248525782296,654
10,24.384216326466394,594.5900058559102,580,26.30926539210037,692.1774454719704,660
11,24.606532792599474,605.4814560732733,578,26.255132302417557,689.3319722174499,666
12,24.657262306645478,607.9805844587199,576,26.94785064525798,726.1866543991309,672
13,24.771967173901793,613.650357664868,574,26.673806517740395,711.49195414585,678
14,24.785112114459242,614.3017825263142,572,29.09511370152511,846.5256413046743,684
15,24.76883162734133,613.4950201835842,570,30.841740567994623,951.2129612634853,690
16,24.670677514699673,608.642329034308,568,35.901947925034115,1288.9498648118613,696
17,24.547377964482237,602.573764931148,566,33.79964134574319,1142.4157551008725,702
18,24.503663148880754,600.4295077138166,564,39.38462433169114,1551.148633748438,708
19,24.179695134763005,584.6576568100817,562,35.39426329941612,1252.7538745083948,714
20,24.161876849077977,583.7962928700103,560,34.30027549357175,1176.508898934919,720
21,23.995609280666166,575.7892647503922,558,29.90788646520088,894.4816728153459,726
22,24.004023772908184,576.1931572903412,556,29.7929058123573,887.6172367439934,732
23,24.023728377686968,577.1395251648821,554,29.617380463307587,877.1892255083139,738
24,24.05944867228284,578.8570704142126,552,30.362586871548167,921.8866815323091,744
25,24.026800267496256,577.2871310941582,550,32.29193036875727,1042.768766940668,750
26,23.997320212777666,575.8713773945875,548,34.31453057554526,1177.4870086200308,756
27,23.970529850054596,574.5863012923585,546,36.83063820237991,1356.4959103946064,762
28,24.037133939402285,577.7838080207652,544,115.96226639574134,13447.24722763688,768
29,23.996084870704838,575.8120891220697,542,117.24079442211494,13745.403876728618,774
30,23.964029873558236,574.2747277807915,540,110.06330968943821,12113.932139793184,780
